,id,sex,birthday,age,agegrp,acquire_kkh,acquire_kkh2,loss_kkh,loss_kkh2,vis_prob,vis_prob2,react_prob,priority,past1,past2,past3,past4,past5,qty,receipt,segment,rm
1181,145268,female,1950/9/23,68,65-69,2009/2/1,2009,,,0.421515448,0.4-0.44,0.109975791,1262.0,0.0,1.0,1.0,1.0,0.0,3.0,2,B,0
1184,28797,male,1951/7/17,67,65-69,1987/1/21,1987,,,0.424323244,0.4-0.44,0.104556443,1267.0,0.0,1.0,1.0,1.0,1.0,4.0,1,D,0
1185,100321,female,1949/10/14,69,65-69,2012/4/1,2012,,,0.417924901,0.4-0.44,0.110672671,1268.0,0.0,1.0,0.0,1.0,0.0,2.0,1,D,0
1186,25250,female,1969/9/17,49,45-49,1992/4/13,1992,,,0.430557438,0.4-0.44,0.097971247,1269.0,1.0,0.0,0.0,1.0,0.0,2.0,0,C,0
1187,22840,male,1971/1/6,48,45-49,2004/2/9,2004,,,0.418656511,0.4-0.44,0.10957829,1270.0,1.0,0.0,0.0,0.0,0.0,1.0,0,C,0
1188,17547,female,1949/9/12,69,65-69,2015/4/1,2015,,,0.422301769,0.4-0.44,0.10586615,1271.0,0.0,1.0,1.0,0.0,0.0,2.0,1,A,0
1189,5957,male,1963/4/2,55,50-54,2016/3/27,2016,,,0.418272001,0.4-0.44,0.109559117,1272.0,1.0,0.0,0.0,0.0,0.0,1.0,1,C,0
1190,211904,male,1946/2/16,73,70-74,2007/3/21,2007,,,0.41800782,0.4-0.44,0.109545932,1273.0,1.0,0.0,0.0,0.0,0.0,1.0,1,A,0
1195,347120,male,1947/7/2,71,70-74,1958/4/1,1958,,,0.427561759,0.4-0.44,0.098606731,1278.0,1.0,0.0,0.0,0.0,1.0,2.0,2,D,0
1196,400184,female,1963/8/3,55,50-54,2007/5/31,2007,,,0.421708551,0.4-0.44,0.104396757,1279.0,0.0,1.0,1.0,1.0,1.0,4.0,0,B,0
1197,27386,male,1954/10/22,64,60-64,2005/5/1,2005,,,0.425817719,0.4-0.44,0.098485365,1282.0,1.0,0.0,0.0,0.0,1.0,2.0,1,D,0
1198,24994,female,1964/1/28,55,50-54,1991/10/1,1991,,,0.414909524,0.4-0.44,0.109390594,1283.0,1.0,0.0,0.0,0.0,0.0,1.0,0,D,0
1199,23496,male,1970/10/21,48,45-49,2000/4/21,2000,,,0.425725579,0.4-0.44,0.098478946,1284.0,1.0,0.0,0.0,0.0,1.0,2.0,1,C,0
1200,125609,female,1949/9/10,69,65-69,2011/4/12,2011,,,0.418591361,0.4-0.44,0.104205417,1285.0,0.0,1.0,1.0,1.0,1.0,4.0,2,C,0
1201,370348,male,1969/9/2,49,45-49,2015/4/1,2015,,,0.41336335,0.4-0.44,0.109312589,1286.0,1.0,0.0,0.0,0.0,0.0,1.0,2,C,0
1202,9009515,male,1955/10/3,63,60-64,2007/10/1,2007,,,0.4122099520000001,0.4-0.44,0.109516357,1287.0,0.0,1.0,1.0,1.0,0.0,3.0,2,B,0
